id,categoryname,subcategoryname,productname,orderdate,duedate,shipdate,unitprice,discountamount,totalproductcost,productstandardcost,salesamount,taxamt,freight
1,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2010-12-29,2011-01-10,2011-01-05,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
2,Bikes,Road Bikes,"Road-150 Red, 62",2010-12-29,2011-01-10,2011-01-05,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
3,Bikes,Road Bikes,"Road-650 Black, 62",2010-12-29,2011-01-10,2011-01-05,699.10,0.00,413.15,413.15,699.10,55.93,17.48
4,Bikes,Mountain Bikes,"Mountain-100 Black, 48",2010-12-30,2011-01-11,2011-01-06,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
5,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2010-12-30,2011-01-11,2011-01-06,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
6,Bikes,Road Bikes,"Road-150 Red, 44",2010-12-30,2011-01-11,2011-01-06,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
7,Bikes,Road Bikes,"Road-150 Red, 62",2010-12-30,2011-01-11,2011-01-06,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
8,Bikes,Road Bikes,"Road-150 Red, 48",2010-12-31,2011-01-12,2011-01-07,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
9,Bikes,Road Bikes,"Road-150 Red, 52",2010-12-31,2011-01-12,2011-01-07,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
10,Bikes,Road Bikes,"Road-150 Red, 56",2010-12-31,2011-01-12,2011-01-07,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
11,Bikes,Road Bikes,"Road-650 Red, 52",2010-12-31,2011-01-12,2011-01-07,699.10,0.00,413.15,413.15,699.10,55.93,17.48
12,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-01,2011-01-13,2011-01-08,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
13,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-01,2011-01-13,2011-01-08,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
